id|name|layer|x|y
1340|观音庙遗址|盂县|113.0220885|38.09776088
1341|东梁遗址|盂县|113.0627412|38.10627363
1342|大庙遗址|盂县|113.0880188|38.10974822
1343|辛庄白龙庙遗址|盂县|113.0934044|38.07309129
1344|输粟救荒题名碑|盂县|113.0947074|38.11330967
1345|关圣大帝庙遗址|盂县|113.0733387|38.13928223
1346|山河遗址|盂县|113.0725569|38.14796871
1347|乌耳庄遗址|盂县|113.0736861|38.15335432
1348|西村遗址|盂县|113.0734255|38.17698153
1349|西烟中共党支部旧址|盂县|113.076987|38.18662352
1350|东村遗址|盂县|113.0922752|38.18879514
1351|藏山行祠遗址|盂县|113.1357944|38.17133532
1352|云中阁遗址|盂县|113.0960972|38.21693932
1353|上文造像|盂县|113.1105168|38.24021907
1354|上文墓葬|盂县|113.1030464|38.25107716
1355|上文摩崖造像|盂县|113.1118198|38.25298819
1356|李庄遗址|盂县|113.1446546|38.29659429
1357|文殊寺|盂县|113.1872184|38.30380407
1358|普济寺|盂县|113.1692374|38.31761556
1359|西潘石斧出土点|盂县|113.1679344|38.32413042
1360|潘家汇墓葬|盂县|113.1548178|38.34402245
1361|西潘遗址|盂县|113.1620276|38.32942917
1362|西潘金墓|盂县|113.1536017|38.32934231
1363|潘家汇金墓|盂县|113.1624619|38.34723644
1364|藏山祠遗址|盂县|113.1897374|38.34506482
1365|进圭玉皇庙|盂县|113.1823539|38.36417507
1366|日军慰安所旧址|盂县|113.198337|38.36860517
1367|庄里遗址|盂县|113.2958862|38.43331941
1368|晋察冀军区二分区司令部旧址|盂县|113.3476576|38.41342738
1369|乔家庄元墓|盂县|113.3496554|38.40326421
1370|乔家庄经幢|盂县|113.354433|38.39709681
1371|石佛湾摩崖造像|盂县|113.3623377|38.39179806
1372|彭真路居|盂县|113.35895|38.38015818
1373|府君庙|盂县|113.3484393|38.3251728
1374|中南遗址|盂县|113.3546936|38.3116219
1375|郭氏幢|盂县|113.3488737|38.31127444
1376|上社金墓|盂县|113.3507847|38.29477013
1377|上社遗址|盂县|113.3569521|38.29077436
1378|山西决死队总部旧址|盂县|113.3457465|38.28999257
1379|灵岳寺遗址|盂县|113.3339329|38.29468327
1380|肖家汇观音庙遗址|盂县|113.3407084|38.27861329
1381|烈士公墓|盂县|113.2794687|38.27409632
1382|造像碑|盂县|113.3166468|38.2465602
1383|丰乐寺遗址|盂县|113.3259414|38.24351993
1384|赵铎墓|盂县|113.3334986|38.24378053
1385|宝峰院遗址|盂县|113.3744988|38.25012165
1386|东兴道遗址|盂县|113.333238|38.23865551
1387|兴化寺造像碑|盂县|113.315257|38.23544151
1388|千佛寺遗址|盂县|113.3193396|38.22996903
1389|摩崖造像|盂县|113.3289816|38.22788428
1390|千佛造像碑|盂县|113.3363651|38.22710249
1391|玉帝庙遗址|盂县|113.3339329|38.2130304
1392|吕祖庙遗址|盂县|113.333238|38.20642868
1393|七机岩关帝庙|盂县|113.3448779|38.22562579
1394|藏山祠|盂县|113.3569521|38.22084823
1395|陆师嶂摩崖造像|盂县|113.3751937|38.20677614
1396|凿井碑|盂县|113.2752992|38.21198803
1397|泉子洼摩崖造像|盂县|113.3055281|38.21633126
1398|小独头造像塔|盂县|113.3149964|38.1874053
1399|诸龙庙|盂县|113.2781658|38.15387551
1400|东苌池遗址|盂县|113.3586025|38.17072727
1401|神山禁谕碑|盂县|113.364683|38.16594971
1402|创修文宣王庙碑|盂县|113.3530432|38.16603657
1403|什袭珍藏碑|盂县|113.3598186|38.15995604
1404|龙神庙遗址|盂县|113.3747594|38.17107473
1405|段家山摩崖造像|盂县|113.3348016|38.12034572
1406|大王庙遗址|盂县|113.3768441|38.01332834
1407|舍利塔|盂县|113.3382762|38.04598949
1408|天齐庙|盂县|113.3763229|38.03904031
1409|上曹天齐庙|盂县|113.3513059|38.06892178
1410|下曹墓群|盂县|113.3556491|38.07465486
1411|西宋遗址|盂县|113.3780602|38.08177777
1412|石佛山摩崖造像|盂县|113.2918904|38.08976932
1413|仇犹观|盂县|113.4217532|38.45095296
1414|梁家寨遗址|盂县|113.4280074|38.44691374
1415|彭真渠|盂县|113.4341314|38.45108325
1416|崔氏祖碑|盂县|113.4695722|38.45512246
1417|120师师部旧址|盂县|113.5245576|38.42828126
1418|青石寺|盂县|113.4028601|38.3403307
1419|北寺山石刻|盂县|113.4704843|38.32391326
1420|日军封锁线遗址|盂县|113.5924424|38.22130427
1421|十八盘摩崖造像|盂县|113.5999345|38.21863318
1422|白求恩医疗队旧址|盂县|113.5656664|38.21016387
1423|反徭役斗争遗址|盂县|113.5449491|38.17550483
1424|泰山庙|盂县|113.5865139|38.167687
1425|重修文殊院碑|盂县|113.4267696|38.17368067
1426|新建关帝庙碑|盂县|113.4237728|38.16742641
1427|西盂北泰山庙|盂县|113.4137399|38.1678173
1428|土塔遗址|盂县|113.4842307|38.14931511
1429|石宝关帝庙|盂县|113.7170716|38.12377687
1430|黑砚水遗址|盂县|113.6860609|38.15739353
1431|观音庙|盂县|113.6626074|38.16143274
1432|交口大王庙|盂县|113.6310755|38.14553649
1433|祭文碑|盂县|113.445793|37.96468408
1434|皇后天齐庙|盂县|113.4461839|37.98409835
1435|奶奶庙遗址|盂县|113.4368025|38.01054867
1436|清城村遗址|盂县|113.47954|38.03139621
1437|永清寺|盂县|113.4765431|38.05328613
1438|红军第24军成立大会会址|盂县|113.4867063|38.03556572
1439|西城武墓群|盂县|113.3923712|38.11739231
1440|烈女祠|盂县|113.4319815|38.11739231
1441|八路军总部旧址|盂县|113.3929575|38.10130062
1442|北庄大王庙|盂县|113.4104825|38.10273389
1443|二郎庙村遗址|盂县|113.447096|38.09204952
1444|大吉遗址|盂县|113.4311997|38.10182181
1445|西吉遗址|盂县|113.4403205|38.10507924
1446|小横沟遗址|盂县|113.4003193|38.07602298
1447|玉皇庙|盂县|113.4108734|38.07472
1448|关帝庙|盂县|113.4440991|38.07823803
1449|丁亥寓道人真山记碑|盂县|113.403707|38.06833545
1450|北娄遗址|盂县|113.396671|38.04866058
1451|龙王庙遗址|盂县|113.4214274|38.06038732
1452|霞峰塔|盂县|113.4482686|38.05465425
1453|上乌沙金墓|盂县|113.4590833|38.05178771
1454|白龙庙遗址|盂县|113.5264469|38.14534105
1455|西岭山摩崖造像|盂县|113.5654058|38.11797865
1456|杏村金墓|盂县|113.5160232|38.11263647
1457|新修永济桥碑|盂县|113.4977816|38.11263647
1458|西沟遗址|盂县|113.5583697|38.09387368
1459|天子庙|盂县|113.5728327|38.09569784
1460|建福院|盂县|113.5833868|38.09100715
1461|斋醮碑|盂县|113.5644937|38.08814061
1462|西林江龙王庙遗址|盂县|113.5891198|38.06455683
1463|慧福寺遗址|盂县|113.5229289|38.09569784
1464|磁窑坡瓷窑址|盂县|113.5085962|38.08123486
1465|刘家口龙王庙|朔城区|112.4049271|39.42213043
1466|张炜墓|朔城区|112.4014071|39.39272429
1467|上庄头龙王庙|朔城区|112.4122381|39.37772337
1468|蔡庄遗址|朔城区|112.4093678|39.3583359
1469|霍庄遗址|朔城区|112.3998907|39.35151238
1470|田家窑遗址|朔城区|112.4014071|39.3392192
1471|李善旭家族墓地|朔城区|112.4133753|39.32725096
1472|马邑墓群|朔城区|112.430055|39.33385786
1473|木寨遗址|朔城区|112.4604901|39.3495628
1474|刘家窑墓葬|朔城区|112.4570242|39.4174731
1475|西赵家口遗址|朔城区|112.4609234|39.41184099
1476|东赵家口瓷窑遗址|朔城区|112.4738122|39.41249085
1477|担水沟遗址|朔城区|112.4549663|39.40079338
1478|大平易墓群|朔城区|112.4931997|39.41552353
1479|林家口龙王庙|朔城区|112.521252|39.42169719
1480|大平易遗址|朔城区|112.4848598|39.40696704
1481|石城庄墓葬|朔城区|112.4017861|39.14377399
1482|青莲桥|朔城区|112.4355788|39.14962272
1483|王万庄关帝庙|朔城区|112.4413193|39.15243878
1484|张田墓|朔城区|112.4550746|39.14843132
1485|张家嘴关帝庙|朔城区|112.4618981|39.14550695
1486|东官井墓群|朔城区|112.4281055|39.24092797
1487|河汇遗址|朔城区|112.5011063|39.15763766
1488|河汇村经幢|朔城区|112.500998|39.16164512
1489|河汇龙王庙|朔城区|112.5006731|39.1690102
1490|河汇寺庙遗址|朔城区|112.4941745|39.16164512
1491|沙塄河关帝庙|朔城区|112.4925498|39.19738739
1492|沙塄河遗址|朔城区|112.4834518|39.18666471
1493|沙塄河天主教堂|朔城区|112.4864845|39.19175528
1494|南泉遗址|朔城区|112.4177077|39.27796995
1495|新安庄主教府|朔城区|112.4432688|39.27277108
1496|南磨遗址|朔城区|112.4040607|39.29681588
1497|南邢家河遗址|朔城区|112.4586488|39.29237517
1498|七里河龙王庙|朔城区|112.4634145|39.32844237
1499|崔家窑遗址|朔城区|112.4832352|39.31447039
1500|南关烽火台遗址|朔城区|112.4229066|39.3047225
1501|祝家庄城址|朔城区|112.5231474|39.35432843
1502|杨涧金墓|朔城区|112.5171903|39.34929202
1503|符秉性墓|朔城区|112.5253136|39.34582611
1504|小平易墓群|朔城区|112.483506|39.38806697
1505|元子河遗址|朔城区|112.4929289|39.39489049
1506|大平易瓷窑址|朔城区|112.4856722|39.40258049
1507|张家口遗址|朔城区|112.5175153|39.38850021
1508|神西遗址|朔城区|112.562518|39.39109964
1509|西神头遗址|朔城区|112.5696123|39.38330133
1510|司马泊遗址|朔城区|112.5741072|39.37994372
1511|田郃植墓|朔城区|112.5607851|39.37604457
1512|寰州故城|朔城区|112.5613808|39.3714414
1513|真武庙|朔城区|112.5105293|39.37387837
1514|野场龙王庙|朔城区|112.5536366|39.34301005
1515|东邵庄龙王庙|朔城区|112.5595395|39.33721547
1516|东邵庄遗址|朔城区|112.5591604|39.33179997
1517|李兰墓|朔城区|112.5496833|39.31885694
1518|下西关遗址|朔城区|112.6024302|39.34745075
1519|枕芳园碑|朔城区|112.6147776|39.33743209
1520|西小寨堡址|朔城区|112.5201147|39.26269826
1521|西小寨龙王庙|朔城区|112.524772|39.25912403
1522|贾庄堡址|朔城区|112.5397188|39.2434191
1523|贾庄龙王庙|朔城区|112.5442678|39.23984487
1524|北曹遗址|朔城区|112.5479504|39.22164881
1525|关帝龙王庙|朔城区|112.5559653|39.216125
1526|南曹烽火台遗址|朔城区|112.5489251|39.20800176
1527|南曹遗址|朔城区|112.5552071|39.20464415
1528|兴龙寺|朔城区|112.5435096|39.20388598
1529|神武墓群|朔城区|112.566363|39.1646778
1530|神武堡址|朔城区|112.5768149|39.16521935
1531|神武遗址|朔城区|112.5861296|39.16516519
1532|梁地遗址|朔城区|112.5741614|39.14832301
1533|野猪洼龙王庙|朔城区|112.5678794|39.11566757
1534|野猪洼遗址|朔城区|112.5660381|39.10895236
1535|三圣庙|朔城区|112.5898663|39.11772546
1536|徐村遗址|朔城区|112.6089288|39.16375717
1537|徐村墓群|朔城区|112.6154274|39.16532766
1538|徐村烽火台遗址|朔城区|112.6158065|39.16879358
1539|徐村三圣庙|朔城区|112.6100119|39.17225949
1540|三泉遗址|朔城区|112.6221426|39.17296351
1541|司马泊龙王庙|朔城区|112.5743682|39.37590812
1542|鄂国公庙遗址|朔城区|112.5842515|39.37861058
1543|吉庄遗址|朔城区|112.5901969|39.37884222
1544|戏台|朔城区|112.5828617|39.38949763
1545|三大王庙|朔城区|112.5939804|39.3857914
1546|东梁洼遗址|朔城区|112.6420841|39.14820666
1547|小莲花堡址|朔城区|112.6533573|39.15461535
1548|何庄遗址|朔城区|112.6616963|39.15816715
1549|寺台遗址|朔城区|112.6505776|39.1737642
1550|天神庙|朔城区|112.5979955|39.205576
1551|青钟墓葬|朔城区|112.5980727|39.22109583
1552|大寺|朔城区|112.6122027|39.22827665
1553|小岱堡址|朔城区|112.6168355|39.23105633
1554|岳飞庙|朔城区|112.6348261|39.20032551
1555|辛寨遗址|朔城区|112.6570635|39.19461174
1556|关王庙|朔城区|112.6643215|39.20364567
1557|八岔堡烽火台遗址|朔城区|112.6982953|39.16380371
1558|八岔堡堡址|朔城区|112.7043951|39.16403534
1559|南白庄遗址|朔城区|112.7349715|39.20796961
1560|张瑾夫妻合葬墓|朔城区|112.7401448|39.19777747
1561|张目生祖碑|朔城区|112.7233123|39.20688862
1562|李威夫妻合葬墓|朔城区|112.7409169|39.20766075
1563|磨盘山工事遗址|朔城区|112.7442371|39.21283403
1564|龙神庙|朔城区|112.7535413|39.21179165
1565|南白庄墓群|朔城区|112.7280223|39.21140559
1566|里仁遗址|朔城区|112.741496|39.24850649
1567|里仁墓群|朔城区|112.7421137|39.24433698
1568|阴馆县故城|朔城区|112.7314197|39.24719387
1569|新磨龙王庙|朔城区|112.5935557|39.37200886
1570|小泊遗址|朔城区|112.6025124|39.37193165
1571|马邑县故城|朔城区|112.617569|39.35424985
1572|马邑堡址|朔城区|112.6129362|39.35092968
1573|栖灵寺遗址|朔城区|112.6151754|39.34166411
1574|马跳庄经幢|朔城区|112.6294164|39.39187193
1575|谢作贵烈士纪念碑|朔城区|112.6493953|39.38770243
1576|红壕头五代墓|朔城区|112.6545203|39.39109015
1577|谢氏家族墓地|朔城区|112.6622512|39.38822361
1578|修堡碑|朔城区|112.7115036|39.42323011
1579|肖西河底遗址|朔城区|112.7009495|39.3768009
1580|罗疃关帝庙|朔城区|112.7283987|39.3738475
1581|肖西河底龙王庙|朔城区|112.6900914|39.37671403
1582|孝廉谢子庄墓|朔城区|112.6638582|39.36359746
1583|霍锳家族墓地|朔城区|112.6617735|39.36863561
